Raman Shift (cm-1),Fitted Intensity,Residual
808.353516,0.7798152170436605,-0.046165924435693895
810.136719,0.7762952174193023,-0.0524089912532828
811.917969,0.7735821794556477,-0.05169157917669198
813.701172,0.7717422364479954,-0.03304018777286166
815.482422,0.770848164107946,-0.04211821786437464
817.263672,0.7709621225022129,-0.03810062569894157
819.044922,0.7721436510084874,-0.023310558111164448
820.824219,0.7744424799499727,-0.03611421142804838
822.605469,0.777907829180133,-0.0016998066299994674
824.384766,0.7825649682548509,-0.010388715098219037
826.164062,0.7884354316719122,-0.01591883802166083
827.943359,0.7955192725948885,-0.002034451530021464
829.722656,0.8037936723709767,-0.017143090757547164
831.5,0.8131969847030933,-0.012584923136720438
833.279297,0.8236660662388375,-0.015441634444828267
835.056641,0.8350560686038307,-0.015325794838884299
836.832031,0.8472000532694355,-0.007349420313645827
838.609375,0.8599158829568976,-0.0035288823287977777
840.386719,0.8729368062401729,-0.027853498119350006
842.162109,0.8859541646574968,-0.029074155411122793
843.9375,0.8986570989153285,-0.04285292671788321
845.712891,0.9107033663564728,-0.021946677364114486
847.488281,0.9217533474375013,-0.061135561079093015
849.261719,0.9314842852258021,-0.04036909071383554
851.035156,0.9396498887213777,-0.044603416125519324
852.810547,0.9460751788383356,-0.04645576925875139
854.582031,0.950659617503858,-0.043543936338638844
856.355469,0.9534507749142379,-0.04553451655106677
858.128906,0.9545865898819239,-0.0460450338836047
859.900391,0.954318875324181,-0.03602773211281485
861.671875,0.9529888075885747,-0.0407862864367996
