Wavenumber (cm^-1),Intensity (a.u.)
2384.26,1353.42
2386.46,1354.42
2388.66,1353.72
2390.85,1355.04
2393.05,1353.3
2395.25,1353.2
2397.44,1352.8
2399.63,1353.06
2401.83,1352.84
2404.02,1353.58
2406.21,1352.28
2408.41,1352.62
2410.6,1353.14
2412.79,1352.62
2414.98,1353.74
2417.17,1352.42
2419.35,1353.74
2421.54,1352.48
2423.73,1352.64
2425.92,1354.04
2428.1,1353.04
2430.29,1352.28
2432.47,1354.28
2434.66,1353.24
2436.84,1354.0
2439.02,1353.22
2441.21,1353.72
2443.39,1352.26
2445.57,1354.7
2447.75,1353.24
2449.93,1353.62
2452.11,1353.6
2454.29,1353.96
2456.46,1353.8
2458.64,1353.48
2460.82,1352.98
2462.99,1353.92
2465.17,1354.14
2467.34,1353.84
2469.52,1352.22
2471.69,1354.4
2473.86,1353.28
2476.04,1353.64
2478.21,1353.84
2480.38,1353.36
2482.55,1353.84
2484.72,1354.24
2486.89,1352.1
2489.06,1353.54
2491.23,1353.96
2493.39,1353.1
2495.56,1353.68
2497.73,1354.1
2499.89,1353.82
2502.06,1353.68
2504.22,1353.28
2506.38,1352.54
2508.55,1353.38
2510.71,1352.92
2512.87,1353.96
2515.03,1353.34
2517.19,1353.76
2519.35,1353.02
2521.51,1354.1
2523.67,1352.82
2525.83,1352.78
2527.99,1353.9
2530.14,1352.84
2532.3,1354.26
2534.45,1353.92
2536.61,1352.94
2538.76,1353.22
2540.92,1354.0
2543.07,1353.22
2545.22,1353.6
2547.38,1353.96
2549.53,1353.76
2551.68,1353.0
2553.83,1353.42
2555.98,1354.16
2558.13,1353.82
2560.27,1353.76
2562.42,1352.86
2564.57,1354.88
2566.71,1351.98
2568.86,1354.78
2571.01,1353.1
2573.15,1354.04
2575.29,1354.42
2577.44,1354.2
2579.58,1353.42
2581.72,1352.68
2583.86,1353.12
2586.01,1353.04
2588.15,1352.84
2590.29,1353.74
2592.42,1353.16
2594.56,1354.26
2596.7,1352.44
2598.84,1353.0
2600.97,1352.9
2603.11,1353.66
2605.25,1352.74
2607.38,1353.6
2609.52,1353.16
2611.65,1353.26
2613.78,1354.08
2615.91,1354.64
2618.05,1353.58
2620.18,1354.26
2622.31,1352.58
2624.44,1354.44
2626.57,1353.52
2628.7,1354.16
2630.82,1354.14
2632.95,1353.1
2635.08,1354.08
2637.21,1353.16
2639.33,1352.58
2641.46,1354.7
2643.58,1352.88
2645.71,1352.8
2647.83,1353.26
2649.95,1353.44
2652.07,1352.58
2654.2,1353.6
2656.32,1354.48
2658.44,1353.6
2660.56,1353.04
2662.68,1353.32
2664.8,1354.24
2666.91,1354.56
2669.03,1353.06
2671.15,1351.84
2673.26,1352.4
2675.38,1351.58
2677.49,1354.38
2679.61,1354.0
2681.72,1354.12
2683.84,1353.04
2685.95,1352.72
2688.06,1355.1
2690.17,1353.1
2692.28,1352.22
2694.39,1352.58
2696.5,1353.08
2698.61,1352.56
2700.72,1353.1
2702.83,1353.2
2704.94,1352.34
2707.04,1352.84
2709.15,1353.18
2711.26,1352.56
2713.36,1353.8
2715.46,1353.6
2717.57,1353.84
2719.67,1352.64
2721.77,1353.88
2723.88,1352.6
2725.98,1353.32
2728.08,1354.08
2730.18,1353.26
2732.28,1355.18
2734.38,1354.16
2736.48,1353.54
2738.57,1353.5
2740.67,1353.56
2742.77,1354.16
2744.86,1353.36
2746.96,1354.14
2749.05,1353.6
2751.15,1354.52
2753.24,1354.92
2755.34,1353.16
2757.43,1352.94
2759.52,1353.04
2761.61,1353.44
2763.7,1352.7
2765.79,1353.82
2767.88,1354.4
2769.97,1353.84
2772.06,1353.08
2774.15,1352.1
2776.24,1352.92
2778.32,1353.46
2780.41,1353.94
2782.5,1353.88
2784.58,1352.88
2786.66,1353.1
2788.75,1354.58
2790.83,1353.6
2792.91,1352.94
2795.0,1353.52
2797.08,1353.62
2799.16,1353.7
2801.24,1353.14
2803.32,1352.64
2805.4,1353.56
2807.48,1354.2
2809.56,1353.08
2811.63,1352.6
2813.71,1353.52
2815.79,1353.9
2817.86,1354.08
2819.94,1352.68
2822.01,1353.2
2824.09,1352.4
2826.16,1354.14
2828.23,1353.7
2830.31,1353.26
2832.38,1353.7
2834.45,1351.88
2836.52,1353.78
2838.59,1352.96
2840.66,1353.3
2842.73,1353.24
2844.8,1354.36
2846.86,1352.7
