//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 8.62036E+02	 1.68724E+03
 8.64702E+02	 1.68448E+03
 8.67367E+02	 1.68388E+03
 8.70032E+02	 1.68286E+03
 8.72695E+02	 1.68144E+03
 8.75358E+02	 1.67714E+03
 8.78019E+02	 1.67866E+03
 8.80680E+02	 1.67758E+03
 8.83340E+02	 1.68018E+03
 8.85999E+02	 1.67686E+03
 8.88657E+02	 1.68134E+03
 8.91314E+02	 1.68300E+03
 8.93971E+02	 1.68256E+03
 8.96626E+02	 1.67410E+03
 8.99281E+02	 1.67430E+03
 9.01935E+02	 1.67464E+03
 9.04588E+02	 1.67686E+03
 9.07240E+02	 1.67922E+03
 9.09891E+02	 1.67896E+03
 9.12541E+02	 1.67898E+03
 9.15191E+02	 1.68326E+03
 9.17840E+02	 1.68604E+03
 9.20487E+02	 1.68564E+03
 9.23134E+02	 1.69822E+03
 9.25780E+02	 1.69346E+03
 9.28426E+02	 1.69194E+03
 9.31070E+02	 1.70216E+03
 9.33714E+02	 1.70666E+03
 9.36356E+02	 1.70912E+03
 9.38998E+02	 1.71460E+03
 9.41639E+02	 1.72192E+03
 9.44279E+02	 1.72602E+03
 9.46918E+02	 1.73992E+03
 9.49557E+02	 1.74038E+03
 9.52194E+02	 1.74918E+03
 9.54831E+02	 1.76104E+03
 9.57466E+02	 1.77956E+03
 9.60101E+02	 1.81166E+03
 9.62735E+02	 1.83082E+03
 9.65369E+02	 1.83742E+03
 9.68001E+02	 1.82776E+03
 9.70633E+02	 1.81352E+03
 9.73263E+02	 1.76492E+03
 9.75893E+02	 1.69614E+03
 9.78522E+02	 1.65100E+03
 9.81150E+02	 1.62662E+03
 9.83777E+02	 1.61672E+03
 9.86404E+02	 1.61398E+03
 9.89029E+02	 1.60762E+03
 9.91654E+02	 1.60172E+03
 9.94278E+02	 1.60350E+03
 9.96901E+02	 1.60568E+03
 9.99523E+02	 1.59860E+03
 1.00214E+03	 1.60442E+03
 1.00477E+03	 1.60236E+03
 1.00738E+03	 1.60238E+03
 1.01000E+03	 1.60486E+03
 1.01262E+03	 1.60138E+03
 1.01524E+03	 1.59534E+03
 1.01785E+03	 1.59482E+03
 1.02047E+03	 1.60304E+03
 1.02308E+03	 1.60174E+03
 1.02570E+03	 1.60178E+03
 1.02831E+03	 1.60016E+03
 1.03092E+03	 1.60380E+03
 1.03353E+03	 1.60850E+03
 1.03614E+03	 1.61480E+03
 1.03875E+03	 1.61698E+03
 1.04136E+03	 1.62322E+03
 1.04397E+03	 1.61996E+03
 1.04658E+03	 1.61850E+03
 1.04918E+03	 1.62394E+03
 1.05179E+03	 1.62138E+03
 1.05439E+03	 1.62164E+03
 1.05700E+03	 1.61776E+03
 1.05960E+03	 1.61420E+03
 1.06220E+03	 1.61772E+03
 1.06480E+03	 1.61232E+03
 1.06740E+03	 1.60742E+03
 1.07000E+03	 1.60372E+03
 1.07260E+03	 1.60318E+03
 1.07520E+03	 1.60342E+03
 1.07780E+03	 1.60390E+03
 1.08039E+03	 1.60210E+03
 1.08299E+03	 1.60270E+03
 1.08558E+03	 1.60574E+03
 1.08818E+03	 1.60168E+03
 1.09077E+03	 1.59982E+03
 1.09336E+03	 1.59756E+03
 1.09595E+03	 1.60470E+03
 1.09854E+03	 1.60320E+03
 1.10113E+03	 1.60222E+03
 1.10372E+03	 1.60716E+03
 1.10631E+03	 1.59702E+03
 1.10890E+03	 1.59960E+03
 1.11148E+03	 1.60378E+03
 1.11407E+03	 1.60070E+03
 1.11665E+03	 1.60356E+03
 1.11924E+03	 1.60320E+03
 1.12182E+03	 1.60690E+03
 1.12440E+03	 1.59756E+03
 1.12698E+03	 1.60328E+03
 1.12956E+03	 1.60206E+03
 1.13214E+03	 1.60516E+03
 1.13472E+03	 1.60396E+03
 1.13730E+03	 1.60002E+03
 1.13987E+03	 1.60398E+03
 1.14245E+03	 1.60056E+03
 1.14503E+03	 1.60290E+03
 1.14760E+03	 1.60258E+03
 1.15017E+03	 1.60114E+03
 1.15275E+03	 1.59854E+03
 1.15532E+03	 1.59626E+03
 1.15789E+03	 1.59854E+03
 1.16046E+03	 1.59606E+03
 1.16303E+03	 1.60448E+03
 1.16560E+03	 1.59764E+03
 1.16817E+03	 1.59290E+03
 1.17074E+03	 1.60240E+03
 1.17330E+03	 1.60240E+03
 1.17587E+03	 1.59260E+03
 1.17843E+03	 1.59536E+03
 1.18100E+03	 1.59484E+03
 1.18356E+03	 1.59902E+03
 1.18612E+03	 1.59240E+03
 1.18868E+03	 1.59762E+03
 1.19124E+03	 1.59866E+03
 1.19380E+03	 1.59412E+03
 1.19636E+03	 1.59674E+03
 1.19892E+03	 1.59334E+03
 1.20148E+03	 1.59432E+03
 1.20404E+03	 1.59982E+03
 1.20659E+03	 1.59556E+03
 1.20915E+03	 1.59830E+03
 1.21170E+03	 1.59872E+03
 1.21425E+03	 1.60100E+03
 1.21681E+03	 1.59540E+03
 1.21936E+03	 1.59528E+03
 1.22191E+03	 1.59604E+03
 1.22446E+03	 1.59854E+03
 1.22701E+03	 1.59400E+03
 1.22956E+03	 1.60302E+03
 1.23210E+03	 1.59700E+03
 1.23465E+03	 1.59596E+03
 1.23720E+03	 1.59696E+03
 1.23974E+03	 1.60222E+03
 1.24229E+03	 1.59726E+03
 1.24483E+03	 1.59868E+03
 1.24737E+03	 1.59834E+03
 1.24992E+03	 1.59952E+03
 1.25246E+03	 1.60372E+03
 1.25500E+03	 1.60504E+03
 1.25754E+03	 1.60148E+03
 1.26008E+03	 1.60848E+03
 1.26261E+03	 1.60896E+03
 1.26515E+03	 1.61204E+03
 1.26769E+03	 1.61068E+03
 1.27022E+03	 1.60976E+03
 1.27276E+03	 1.61140E+03
 1.27529E+03	 1.61200E+03
 1.27783E+03	 1.60546E+03
 1.28036E+03	 1.60898E+03
 1.28289E+03	 1.60192E+03
 1.28542E+03	 1.59962E+03
 1.28795E+03	 1.60162E+03
 1.29048E+03	 1.59886E+03
 1.29301E+03	 1.60394E+03
 1.29554E+03	 1.59486E+03
 1.29806E+03	 1.59886E+03
 1.30059E+03	 1.60116E+03
 1.30311E+03	 1.60338E+03
 1.30564E+03	 1.59932E+03
 1.30816E+03	 1.59622E+03
 1.31069E+03	 1.60438E+03
 1.31321E+03	 1.59988E+03
 1.31573E+03	 1.60088E+03
 1.31825E+03	 1.60020E+03
 1.32077E+03	 1.60184E+03
 1.32329E+03	 1.60002E+03
 1.32581E+03	 1.60074E+03
 1.32832E+03	 1.59864E+03
 1.33084E+03	 1.60060E+03
 1.33336E+03	 1.59854E+03
 1.33587E+03	 1.60148E+03
 1.33838E+03	 1.59822E+03
 1.34090E+03	 1.60346E+03
 1.34341E+03	 1.60204E+03
 1.34592E+03	 1.59848E+03
 1.34843E+03	 1.60334E+03
 1.35094E+03	 1.60200E+03
 1.35345E+03	 1.60108E+03
 1.35596E+03	 1.60234E+03
 1.35847E+03	 1.60286E+03
 1.36098E+03	 1.60120E+03
 1.36348E+03	 1.60414E+03
 1.36599E+03	 1.60336E+03
 1.36849E+03	 1.60416E+03
 1.37100E+03	 1.59884E+03
 1.37350E+03	 1.59820E+03
 1.37600E+03	 1.59944E+03
 1.37850E+03	 1.59992E+03
 1.38100E+03	 1.60248E+03
 1.38350E+03	 1.59972E+03
 1.38600E+03	 1.60208E+03
 1.38850E+03	 1.59460E+03
 1.39100E+03	 1.59842E+03
 1.39350E+03	 1.59656E+03
 1.39599E+03	 1.59756E+03
 1.39849E+03	 1.59624E+03
 1.40098E+03	 1.59338E+03
 1.40348E+03	 1.59498E+03
 1.40597E+03	 1.59486E+03
 1.40846E+03	 1.59126E+03
 1.41095E+03	 1.59516E+03
 1.41344E+03	 1.59292E+03
 1.41593E+03	 1.59338E+03
 1.41842E+03	 1.58954E+03
 1.42091E+03	 1.59316E+03
 1.42340E+03	 1.59144E+03
 1.42588E+03	 1.58742E+03
 1.42837E+03	 1.59476E+03
 1.43086E+03	 1.59036E+03
 1.43334E+03	 1.59238E+03
 1.43582E+03	 1.59184E+03
 1.43831E+03	 1.59236E+03
 1.44079E+03	 1.59278E+03
 1.44327E+03	 1.59636E+03
 1.44575E+03	 1.59488E+03
 1.44823E+03	 1.59174E+03
 1.45071E+03	 1.58954E+03
 1.45319E+03	 1.58794E+03
