//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 7.97791E+02	 1.61848E+03
 8.00478E+02	 1.61792E+03
 8.03164E+02	 1.61584E+03
 8.05849E+02	 1.60530E+03
 8.08533E+02	 1.60186E+03
 8.11217E+02	 1.60562E+03
 8.13899E+02	 1.60372E+03
 8.16581E+02	 1.60204E+03
 8.19262E+02	 1.60024E+03
 8.21942E+02	 1.59882E+03
 8.24621E+02	 1.60504E+03
 8.27299E+02	 1.60440E+03
 8.29977E+02	 1.60214E+03
 8.32653E+02	 1.60330E+03
 8.35329E+02	 1.60386E+03
 8.38003E+02	 1.60792E+03
 8.40677E+02	 1.60580E+03
 8.43350E+02	 1.60648E+03
 8.46022E+02	 1.61302E+03
 8.48693E+02	 1.60550E+03
 8.51364E+02	 1.61176E+03
 8.54033E+02	 1.61168E+03
 8.56702E+02	 1.61418E+03
 8.59370E+02	 1.61374E+03
 8.62036E+02	 1.61362E+03
 8.64702E+02	 1.61608E+03
 8.67367E+02	 1.61784E+03
 8.70032E+02	 1.61616E+03
 8.72695E+02	 1.61692E+03
 8.75358E+02	 1.61382E+03
 8.78019E+02	 1.61468E+03
 8.80680E+02	 1.61424E+03
 8.83340E+02	 1.61058E+03
 8.85999E+02	 1.61356E+03
 8.88657E+02	 1.61204E+03
 8.91314E+02	 1.61580E+03
 8.93971E+02	 1.61510E+03
 8.96626E+02	 1.61484E+03
 8.99281E+02	 1.61106E+03
 9.01935E+02	 1.61756E+03
 9.04588E+02	 1.61616E+03
 9.07240E+02	 1.61130E+03
 9.09891E+02	 1.61104E+03
